dt = 2017-04-29 10:56:40.196872 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 10:56:54.685214 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 10:56:54.686156 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 10:56:56.151723 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 60337694}
dt = 2017-04-29 11:00:48.085342 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 63921781}
dt = 2017-04-29 11:04:42.479744 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:04:48.452182 | collection_name = sessions | key = going_shuttles | new_value = - | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:04:48.455091 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:04:51.350070 | collection_name = sessions | key = wanted_shuttle_id | new_value = 2814007 | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:04:51.353322 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:05:01.452680 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:08:29.820861 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:10:10.529467 | collection_name = sessions | key = state | new_value = start | filter_options = {'chat_id': 332678780}
dt = 2017-04-29 11:10:10.735107 | collection_name = sessions | key = state | new_value = - | filter_options = {'chat_id': 332678780}
dt = 2017-04-29 11:10:11.846006 | collection_name = sessions | key = lang | new_value = ru | filter_options = {'chat_id': 332678780}
dt = 2017-04-29 11:10:11.847954 | collection_name = sessions | key = state | new_value = main_menu | filter_options = {'chat_id': 332678780}
dt = 2017-04-29 11:10:13.122922 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 332678780}
dt = 2017-04-29 11:11:33.049030 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:13:04.747853 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 253206917}
dt = 2017-04-29 11:14:24.897668 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 253206917}
